finding_title_1,finding_title_2,similarity_score
Cross-Site Scripting: Reflected - minisites/calendar/scripts/calendar.php:39,Cross-Site Scripting: Reflected - share.php:27,89.13799524307251
Microsoft Windows Security Update for December 2022,Microsoft Windows Security Update for January 2023,89.09512758255005
Dangerous File Inclusion - images/gamesandmobile/mobilegames/alerts.php:2,Dangerous File Inclusion - maintenance.php:13,89.0757143497467
Sensitive Data Sent in URL,Insufficient SSL Enforcement,88.97817134857178
Insufficient SSL Enforcement,Sensitive Data Sent in URL,88.96597027778625
Reflected Cross-Site Scripting (XSS) Vulnerabilities,Reflected Cross-Site Scripting (XSS) Vulnerabilities,88.93083333969116
Dangerous File Inclusion - onlinetests/includes/global.php:422,Dangerous File Inclusion - includes/global.php:9,88.89867067337036
Dangerous File Inclusion - minisites/kidsweek13/includes/global.php:20,Dangerous File Inclusion - maintenance.php:13,88.87501955032349
SQL Injection - onlinetests/affiliates/inc/registration_functions.php:50,SQL Injection - onlinetests/app/classes/db.php:40,88.70649337768555
SQL Injection - onlinetests/affiliates/thetest/testStart.php:26,SQL Injection - onlinetests/affiliates/thetest/testStart.php:35,88.69661092758179
Reflected Cross-Site Scripting (XSS) Vulnerabilities,Reflected Cross-Site Scripting (XSS) Vulnerabilities,88.65218162536621
Microsoft Windows Security Update for January 2023,Microsoft Windows Security Update for December 2022,88.5896384716034
Dangerous File Inclusion - includes/global.php:9,Dangerous File Inclusion - onlinetests/college/includes/global.php:173,88.57694268226624
SQL Injection - onlinetests/includes/functions.php:194,SQL Injection - onlinetests/affiliates/thetest/testStart.php:35,88.45529556274414
Dangerous File Inclusion - maintenance.php:13,Dangerous File Inclusion - images/gamesandmobile/mobilegames/alerts.php:2,88.44308853149414
Reflected Cross-Site Scripting (XSS) Vulnerabilities,Reflected Cross-Site Scripting (XSS) Vulnerabilities,88.39826583862305
SQL Injection - onlinetests/app/classes/db.php:40,SQL Injection - onlinetests/affiliates/inc/registration_functions.php:50,88.39178085327148
SQL Injection - onlinetests/app/classes/db.php:27,SQL Injection - onlinetests/affiliates/inc/registration_functions.php:50,88.28418254852295
Dangerous File Inclusion - maintenance.php:13,Dangerous File Inclusion - gamesandmobile/mobilegames/alerts.php:2,88.18392157554626
Insufficient SSL Enforcement,Sensitive Data Sent in URL,88.06242346763611
Cross-Site Scripting: Reflected - share.php:22,Cross-Site Scripting: Reflected - onlinetests/includes/tutorials.withoutiframe.php:74,88.0499005317688
Cross-Site Scripting: Reflected - share.php:22,Cross-Site Scripting: Reflected - share.php:27,87.93809413909912
Dangerous File Inclusion - minisites/kidsweek13/includes/global.php:20,Dangerous File Inclusion - images/gamesandmobile/mobilegames/alerts.php:2,87.91608810424805
SQL Injection - onlinetests/affiliates/thetest/testStart.php:35,SQL Injection - onlinetests/includes/functions.php:194,87.8744125366211
Dangerous File Inclusion - images/gamesandmobile/mobilegames/alerts.php:2,Dangerous File Inclusion - minisites/kidsweek13/includes/global.php:20,87.87093758583069
Dangerous File Inclusion - includes/global.php:9,Dangerous File Inclusion - onlinetests/includes/global.php:422,87.83813118934631
SQL Injection - onlinetests/affiliates/inc/registration_functions.php:50,SQL Injection - onlinetests/app/classes/db.php:44,87.83183097839355
SQL Injection - onlinetests/app/classes/db.php:44,SQL Injection - onlinetests/affiliates/inc/registration_functions.php:50,87.76904344558716
Dangerous File Inclusion - gamesandmobile/mobilegames/alerts.php:2,Dangerous File Inclusion - minisites/kidsweek13/includes/global.php:20,87.72701025009155
Microsoft Windows Security Update for October 2022,Microsoft Windows Security Update for January 2023,87.71559000015259
Dangerous File Inclusion - onlinetests/college/includes/global.php:173,Dangerous File Inclusion - includes/global.php:9,87.71196603775024
SQL Injection - onlinetests/affiliates/inc/registration_functions.php:50,SQL Injection - onlinetests/app/classes/db.php:27,87.7107560634613
SQL Injection - onlinetests/includes/functions.php:11,SQL Injection - onlinetests/affiliates/inc/registration_functions.php:7,87.60137557983398
Dangerous File Inclusion - minisites/teacherstournament-s29/includes/global.php:25,Dangerous File Inclusion - minisites/kidsweek13/includes/global.php:20,87.5993013381958
Cross-Site Scripting: Reflected - onlinetests/includes/tutorials.withoutiframe.php:74,Cross-Site Scripting: Reflected - share.php:27,87.42424249649048
Dangerous File Inclusion - minisites/teacherstournament-s29/includes/global.php:25,Dangerous File Inclusion - images/gamesandmobile/mobilegames/alerts.php:2,87.33599185943604
Dangerous File Inclusion - includes/global.php:9,Dangerous File Inclusion - images/gamesandmobile/mobilegames/alerts.php:2,87.32924461364746
Dangerous File Inclusion - includes/global.php:9,Dangerous File Inclusion - gamesandmobile/mobilegames/alerts.php:2,87.26370930671692
Reflected Cross-Site Scripting (XSS) Vulnerabilities,Reflected Cross-Site Scripting (XSS) Vulnerabilities,87.2256875038147
Dangerous File Inclusion - gamesandmobile/mobilegames/alerts.php:2,Dangerous File Inclusion - minisites/teacherstournament-s29/includes/global.php:25,87.21861839294434
Cross-Site Scripting: Reflected - minisites/calendar/scripts/calendar.php:39,Cross-Site Scripting: Reflected - share.php:22,87.14838027954102
Reflected Cross-Site Scripting (XSS) Vulnerabilities,Reflected Cross-Site Scripting (XSS) Vulnerabilities,87.06737160682678
SQL Injection - onlinetests/affiliates/inc/registration_functions.php:50,SQL Injection - onlinetests/includes/functions.php:11,86.97119951248169
Dangerous File Inclusion - maintenance.php:13,Dangerous File Inclusion - minisites/kidsweek13/includes/global.php:20,86.92363500595093
Reflected Cross-Site Scripting (XSS) Vulnerabilities,Reflected Cross-Site Scripting (XSS) Vulnerabilities,86.90415620803833
Dangerous File Inclusion - images/gamesandmobile/mobilegames/alerts.php:2,Dangerous File Inclusion - minisites/teacherstournament-s29/includes/global.php:25,86.78337931632996
Dangerous File Inclusion - minisites/kidsweek13/includes/global.php:20,Dangerous File Inclusion - minisites/teacherstournament-s29/includes/global.php:25,86.72265410423279
Sensitive Data Sent in URL,Insufficient SSL Enforcement,86.60039901733398
Dangerous File Inclusion - gamesandmobile/mobilegames/alerts.php:2,Dangerous File Inclusion - includes/global.php:9,86.56131029129028
SQL Injection - onlinetests/affiliates/inc/registration_functions.php:7,SQL Injection - onlinetests/includes/functions.php:11,86.5208387374878
Cross-Site Scripting: Reflected - onlinetests/includes/tutorials.withoutiframe.php:74,Cross-Site Scripting: Reflected - share.php:22,86.43449544906616
Oracle Java Standard Edition (SE) Critical Patch Update - July 2022 (CPUJUL2022),Oracle Java Standard Edition (SE) Critical Patch Update - January 2023 (CPUJAN2023),86.4118218421936
Dangerous File Inclusion - minisites/teacherstournament-s29/includes/global.php:25,Dangerous File Inclusion - gamesandmobile/mobilegames/alerts.php:2,86.36850714683533
Microsoft Windows Security Update for January 2023,Microsoft Windows Security Update for October 2022,86.364084482193
Reflected Cross-Site Scripting (XSS) Vulnerabilities,Reflected Cross-Site Scripting (XSS) Vulnerabilities,86.20074987411499
Microsoft Windows Security Update for October 2022,Microsoft Windows Security Update for September 2022,86.08026504516602
Cross-Site Scripting: Reflected - share.php:22,Cross-Site Scripting: Reflected - minisites/calendar/scripts/calendar.php:39,86.06113791465759
pkg:npm/ansi-regex@4.1.0,pkg:npm/ansi-regex@5.0.0,85.92923879623413
Cross-Site Scripting: Reflected - share.php:27,Cross-Site Scripting: Reflected - share.php:22,85.9106957912445
Dangerous File Inclusion - minisites/kidsweek13/includes/global.php:20,Dangerous File Inclusion - gamesandmobile/mobilegames/alerts.php:2,85.85488796234131
SQL Injection - onlinetests/affiliates/thetest/testStart.php:26,SQL Injection - onlinetests/app/classes/db.php:44,85.8477771282196
SQL Injection - onlinetests/affiliates/thetest/testStart.php:35,SQL Injection - onlinetests/app/classes/db.php:44,85.82717180252075
Microsoft Windows Security Update for September 2022,Microsoft Windows Security Update for December 2022,85.80986261367798
Dangerous File Inclusion - images/gamesandmobile/mobilegames/alerts.php:2,Dangerous File Inclusion - includes/global.php:9,85.6855571269989
Dangerous File Inclusion - maintenance.php:13,Dangerous File Inclusion - minisites/teacherstournament-s29/includes/global.php:25,85.59343814849854
Microsoft Windows Security Update for September 2022,Microsoft Windows Security Update for October 2022,85.42434573173523
Dangerous File Inclusion - images/gamesandmobile/mobilealerts/alerts.php:38,Dangerous File Inclusion - onlinetests/college/includes/global.php:173,85.09011268615723
Cross-Site Scripting: Reflected - share.php:27,Cross-Site Scripting: Reflected - onlinetests/includes/tutorials.withoutiframe.php:74,85.06944179534912
Oracle Java Standard Edition (SE) Critical Patch Update - October 2022 (CPUOCT2022),Oracle Java Standard Edition (SE) Critical Patch Update - July 2022 (CPUJUL2022),85.0256085395813
pkg:npm/ansi-regex@5.0.0,pkg:npm/ansi-regex@3.0.0,84.93085503578186
Dangerous File Inclusion - images/gamesandmobile/mobilealerts/alerts.php:38,Dangerous File Inclusion - images/gamesandmobile/mobilegames/alerts.php:2,84.90269184112549
Dangerous File Inclusion - images/gamesandmobile/mobilealerts/alerts.php:38,Dangerous File Inclusion - gamesandmobile/mobilegames/alerts.php:2,84.8639190196991
SQL Injection - onlinetests/includes/functions.php:11,SQL Injection - onlinetests/affiliates/thetest/testStart.php:35,84.77925062179565
SQL Injection - onlinetests/includes/functions.php:11,SQL Injection - onlinetests/affiliates/inc/registration_functions.php:50,84.53044891357422
Microsoft Windows Server Elevation of Privilege Vulnerability for November 2022,Microsoft Windows Security Update for October 2022,84.51781272888184
Dangerous File Inclusion - minisites/teacherstournament-s29/includes/global.php:25,Dangerous File Inclusion - maintenance.php:13,84.50417518615723
Dangerous File Inclusion - onlinetests/college/includes/global.php:173,Dangerous File Inclusion - images/gamesandmobile/mobilealerts/alerts.php:38,84.46415662765503
Dangerous File Inclusion - onlinetests/includes/global.php:422,Dangerous File Inclusion - images/gamesandmobile/mobilealerts/alerts.php:38,84.35732126235962
SQL Injection - onlinetests/affiliates/thetest/testStart.php:35,SQL Injection - onlinetests/includes/functions.php:11,84.2449426651001
Microsoft Windows Security Update for December 2022,Microsoft Windows Security Update for September 2022,84.2376172542572
SQL Injection - onlinetests/app/classes/db.php:40,SQL Injection - onlinetests/affiliates/thetest/testStart.php:35,84.21958684921265
Microsoft Windows Security Update for October 2022,Microsoft Windows Server Elevation of Privilege Vulnerability for November 2022,84.15842056274414
SQL Injection - onlinetests/affiliates/thetest/testStart.php:26,SQL Injection - onlinetests/app/classes/db.php:27,84.07078981399536
pkg:npm/terser@5.7.0,pkg:npm/terser@5.10.0,84.07073616981506
Dangerous File Inclusion - images/gamesandmobile/mobilealerts/alerts.php:38,Dangerous File Inclusion - onlinetests/includes/global.php:422,84.05942916870117
SQL Injection - onlinetests/app/classes/db.php:44,SQL Injection - onlinetests/affiliates/thetest/testStart.php:35,84.00057554244995
SQL Injection - onlinetests/app/classes/db.php:40,SQL Injection - onlinetests/affiliates/thetest/testStart.php:26,83.97659063339233
Dangerous File Inclusion - includes/global.php:9,Dangerous File Inclusion - maintenance.php:13,83.88392925262451
SQL Injection - onlinetests/affiliates/thetest/testStart.php:26,SQL Injection - onlinetests/includes/functions.php:194,83.88273119926453
Oracle Java Standard Edition (SE) Critical Patch Update - October 2022 (CPUOCT2022),Oracle Java Standard Edition (SE) Critical Patch Update - January 2023 (CPUJAN2023),83.83790254592896
Dangerous File Inclusion - gamesandmobile/mobilegames/alerts.php:2,Dangerous File Inclusion - images/gamesandmobile/mobilealerts/alerts.php:38,83.69994163513184
SQL Injection - onlinetests/app/classes/db.php:27,SQL Injection - onlinetests/affiliates/thetest/testStart.php:26,83.51694941520691
pkg:npm/ansi-regex@5.0.0,pkg:npm/ansi-regex@4.1.0,83.51494073867798
Oracle Java Standard Edition (SE) Critical Patch Update - January 2023 (CPUJAN2023),Oracle Java Standard Edition (SE) Critical Patch Update - July 2022 (CPUJUL2022),83.40212106704712
Dangerous File Inclusion - includes/global.php:9,Dangerous File Inclusion - minisites/kidsweek13/includes/global.php:20,83.3108901977539
pkg:npm/ansi-regex@4.1.0,pkg:npm/ansi-regex@3.0.0,83.29943418502808
SQL Injection - onlinetests/affiliates/thetest/testStart.php:26,SQL Injection - onlinetests/app/classes/db.php:40,83.23553800582886
Dangerous File Inclusion - images/gamesandmobile/mobilegames/alerts.php:2,Dangerous File Inclusion - images/gamesandmobile/mobilealerts/alerts.php:38,83.22398066520691
SQL Injection - onlinetests/app/test_end.php:73,SQL Injection - onlinetests/app/classes/db.php:27,83.1477403640747
SQL Injection - onlinetests/app/classes/db.php:27,SQL Injection - onlinetests/affiliates/thetest/testStart.php:35,83.13063979148865
SQL Injection - onlinetests/includes/functions.php:194,SQL Injection - onlinetests/affiliates/thetest/testStart.php:26,83.07327032089233
SQL Injection - onlinetests/affiliates/thetest/testStart.php:35,SQL Injection - onlinetests/app/classes/db.php:40,83.06735157966614
SQL Injection - onlinetests/includes/functions.php:194,SQL Injection - onlinetests/app/classes/db.php:40,82.94192552566528
SQL Injection - onlinetests/app/test_end.php:73,SQL Injection - onlinetests/app/classes/db.php:44,82.89554119110107
SQL Injection - onlinetests/includes/functions.php:11,SQL Injection - onlinetests/app/classes/db.php:40,82.8873872756958
SQL Injection - onlinetests/includes/functions.php:194,SQL Injection - onlinetests/app/classes/db.php:44,82.88289308547974
Reflected Cross-Site Scripting (XSS) Vulnerabilities,Reflected Cross-Site Scripting (XSS) Vulnerabilities,82.8310489654541
SQL Injection - onlinetests/app/classes/db.php:40,SQL Injection - onlinetests/affiliates/inc/registration_functions.php:7,82.82400965690613
SQL Injection - onlinetests/app/classes/db.php:44,SQL Injection - onlinetests/includes/functions.php:194,82.80237913131714
Reflected Cross-Site Scripting (XSS) Vulnerabilities,Reflected Cross-Site Scripting (XSS) Vulnerabilities,82.7898621559143
SQL Injection - onlinetests/affiliates/inc/registration_functions.php:50,SQL Injection - onlinetests/affiliates/inc/registration_functions.php:7,82.71312117576599
Dangerous File Inclusion - minisites/kidsweek13/includes/global.php:20,Dangerous File Inclusion - includes/global.php:9,82.70469903945923
SQL Injection - onlinetests/app/classes/db.php:44,SQL Injection - onlinetests/affiliates/thetest/testStart.php:26,82.59645700454712
javascript.sequelize.security.audit.sequelize-injection-express.express-sequelize-injection,javascript.sequelize.security.audit.sequelize-injection-express.express-sequelize-injection,82.55640864372253
SQL Injection - onlinetests/affiliates/inc/registration_functions.php:7,SQL Injection - onlinetests/app/classes/db.php:40,82.53260850906372
SQL Injection - onlinetests/app/test_end.php:73,SQL Injection - onlinetests/app/classes/db.php:40,82.48988389968872
Dangerous File Inclusion - maintenance.php:13,Dangerous File Inclusion - includes/global.php:9,82.40547180175781
SQL Injection - onlinetests/app/classes/db.php:27,SQL Injection - onlinetests/app/test_end.php:73,82.4020266532898
pkg:npm/ansi-regex@3.0.0,pkg:npm/ansi-regex@4.1.0,82.33201503753662
Oracle Java Standard Edition (SE) Critical Patch Update - July 2022 (CPUJUL2022),Oracle Java Standard Edition (SE) Critical Patch Update - October 2022 (CPUOCT2022),82.32693672180176
Dangerous File Inclusion - minisites/teacherstournament-s29/includes/global.php:25,Dangerous File Inclusion - includes/global.php:9,82.16722011566162
pkg:npm/terser@4.8.0,pkg:npm/terser@5.7.0,82.03110694885254
Dangerous File Inclusion - includes/global.php:9,Dangerous File Inclusion - minisites/teacherstournament-s29/includes/global.php:25,82.00534582138062
SQL Injection - onlinetests/affiliates/inc/registration_functions.php:7,SQL Injection - onlinetests/app/classes/db.php:27,81.99158310890198
SQL Injection - onlinetests/app/classes/db.php:44,SQL Injection - onlinetests/app/test_end.php:73,81.98862075805664
SQL Injection - onlinetests/app/test_end.php:73,SQL Injection - onlinetests/app/classes/db.php:27,81.94338083267212
SQL Injection - onlinetests/app/test_end.php:73,SQL Injection - onlinetests/app/classes/db.php:40,81.74044489860535
SQL Injection - onlinetests/includes/functions.php:11,SQL Injection - onlinetests/app/classes/db.php:44,81.45250082015991
SQL Injection - onlinetests/app/classes/db.php:27,SQL Injection - onlinetests/app/test_end.php:73,81.41663670539856
SQL Injection - onlinetests/app/classes/db.php:44,SQL Injection - onlinetests/includes/functions.php:11,81.3732922077179
SQL Injection - onlinetests/includes/functions.php:194,SQL Injection - onlinetests/app/classes/db.php:27,81.35273456573486
SQL Injection - onlinetests/app/classes/db.php:40,SQL Injection - onlinetests/includes/functions.php:194,81.35066032409668
SQL Injection - onlinetests/app/classes/db.php:27,SQL Injection - onlinetests/affiliates/inc/registration_functions.php:7,81.33770823478699
SQL Injection - onlinetests/app/classes/db.php:44,SQL Injection - onlinetests/affiliates/inc/registration_functions.php:7,81.29956722259521
SQL Injection - onlinetests/affiliates/inc/registration_functions.php:7,SQL Injection - onlinetests/app/classes/db.php:44,81.25298619270325
SQL Injection - onlinetests/app/classes/db.php:44,SQL Injection - onlinetests/app/test_end.php:73,81.25165700912476
SQL Injection - onlinetests/includes/functions.php:11,SQL Injection - onlinetests/affiliates/thetest/testStart.php:26,81.24421834945679
SQL Injection - onlinetests/app/test_end.php:73,SQL Injection - onlinetests/app/classes/db.php:44,81.23717308044434
Microsoft Windows Security Update for October 2022,Microsoft Windows Security Update for November 2022,81.2357246875763
SQL Injection - onlinetests/app/classes/db.php:40,SQL Injection - onlinetests/app/test_end.php:73,81.2291145324707
Brute Force (Form Auth) - http://webscantest.com/login.php,Brute Force (HTTP Auth) - http://webscantest.com/basic_auth/basic_auth.php,81.15864992141724
javascript.sequelize.security.audit.sequelize-injection-express.express-sequelize-injection,javascript.sequelize.security.audit.sequelize-injection-express.express-sequelize-injection,80.9892475605011
Oracle Java Standard Edition (SE) Critical Patch Update - January 2023 (CPUJAN2023),Oracle Java Standard Edition (SE) Critical Patch Update - October 2022 (CPUOCT2022),80.96455335617065
Dangerous File Inclusion - images/gamesandmobile/mobilealerts/alerts.php:38,Dangerous File Inclusion - minisites/kidsweek13/includes/global.php:20,80.92203736305237
SQL Injection - onlinetests/affiliates/thetest/testStart.php:26,SQL Injection - onlinetests/includes/functions.php:11,80.81910610198975
Dangerous File Inclusion - minisites/kidsweek13/includes/global.php:20,Dangerous File Inclusion - images/gamesandmobile/mobilealerts/alerts.php:38,80.81811666488647
SQL Injection - onlinetests/app/classes/db.php:27,SQL Injection - onlinetests/includes/functions.php:11,80.80649375915527
Dangerous File Inclusion - includes/global.php:9,Dangerous File Inclusion - images/gamesandmobile/mobilealerts/alerts.php:38,80.69669604301453
Reflected Cross-Site Scripting (XSS) Vulnerabilities,Reflected Cross-Site Scripting (XSS) Vulnerabilities,80.5724561214447
Dangerous File Inclusion - images/gamesandmobile/mobilealerts/alerts.php:38,Dangerous File Inclusion - includes/global.php:9,80.56439161300659
Dangerous File Inclusion - images/gamesandmobile/mobilealerts/alerts.php:38,Dangerous File Inclusion - minisites/teacherstournament-s29/includes/global.php:25,80.54426908493042
Reflected Cross-Site Scripting (XSS) Vulnerabilities,Reflected Cross-Site Scripting (XSS) Vulnerabilities,80.443274974823
SQL Injection - onlinetests/affiliates/inc/registration_functions.php:7,SQL Injection - onlinetests/affiliates/inc/registration_functions.php:50,80.43030500411987
Microsoft Windows Server Elevation of Privilege Vulnerability for November 2022,Microsoft Windows Security Update for December 2022,80.35186529159546
SQL Injection - onlinetests/app/classes/db.php:40,SQL Injection - onlinetests/includes/functions.php:11,80.3137481212616
SQL Injection - onlinetests/app/classes/db.php:27,SQL Injection - onlinetests/includes/functions.php:194,80.28440475463867
SQL Injection - onlinetests/includes/functions.php:11,SQL Injection - onlinetests/app/classes/db.php:27,80.0784707069397
SQL Injection - onlinetests/app/classes/db.php:40,SQL Injection - onlinetests/app/test_end.php:73,80.07252216339111
